2	RM-TCpol_R
3	RM-TCs_R
4	RM-Amyg_R
5	RM-PFCoi_R
6	RM-IA_R
7	RM-PFCom_R
8	RM-TCc_R
9	RM-PFCol_R
10	RM-TCi_R
11	RM-PHC_R
12	MM82a-G_R
13	RM-PMCvl_R
14	RM-VACv_R
15	RM-Ip_R
16	RM-PFCpol_R
17	RM-HC_R
18	RM-CCs_R
19	RM-PFCvl_R
20	RM-V2_R
21	RM-PFCm_R
22	RM-TCv_R
23	RM-VACd_R
24	RM-V1_R
25	RM-PFCcl_R
26	RM-A2_R
27	RM-CCr_R
28	RM-CCp_R
29	RM-CCa_R
30	RM-S2_R
31	RM-S1_R
32	RM-A1_R
33	RM-M1_R
34	RM-PCi_R
35	RM-PCm_R
36	RM-PFCdm_R
37	RM-PCip_R
38	RM-PCs_R
39	RM-FEF_R
40	RM-PFCdl_R
41	RM-PMCm_R
42	RM-PMCdl_R
51	TM-F_R
52	TM-T_R
53	TM-OP_R
61	BG-Cd_R
62	BG-Pu_R
63	BG-Pa_R
64	BG-Acc_R
102	RM-TCpol_L
103	RM-TCs_L
104	RM-Amyg_L
105	RM-PFCoi_L
106	RM-IA_L
107	RM-PFCom_L
108	RM-TCc_L
109	RM-PFCol_L
110	RM-TCi_L
111	RM-PHC_L
112	MM82a-G_L
113	RM-PMCvl_L
114	RM-VACv_L
115	RM-Ip_L
116	RM-PFCpol_L
117	RM-HC_L
118	RM-CCs_L
119	RM-PFCvl_L
120	RM-V2_L
121	RM-PFCm_L
122	RM-TCv_L
123	RM-VACd_L
124	RM-V1_L
125	RM-PFCcl_L
126	RM-A2_L
127	RM-CCr_L
128	RM-CCp_L
129	RM-CCa_L
130	RM-S2_L
131	RM-S1_L
132	RM-A1_L
133	RM-M1_L
134	RM-PCi_L
135	RM-PCm_L
136	RM-PFCdm_L
137	RM-PCip_L
138	RM-PCs_L
139	RM-FEF_L
140	RM-PFCdl_L
141	RM-PMCm_L
142	RM-PMCdl_L
151	TM-F_L
152	TM-T_L
153	TM-OP_L
161	BG-Cd_L
162	BG-Pu_L
163	BG-Pa_L
164	BG-Acc_L